Mon Feb  6 18:55:50 2023    output.dat

         35893072 function calls (34155843 primitive calls) in 13.779 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5652    0.001    0.000    0.001    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/arrayprint.py:1231(__call__)
     5400    0.000    0.000    0.000    0.000 /Users/gabrielpereira/repos/gridworld-numpy/dynamic_programming_3d.py:6(random_walk)
     4702    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     3604    0.001    0.000    0.001    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/arrayprint.py:984(<genexpr>)
     3604    0.001    0.000    0.002    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/arrayprint.py:989(<genexpr>)
     3604    0.000    0.000    0.000    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/arrayprint.py:993(<genexpr>)
     3604    0.000    0.000    0.000    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/arrayprint.py:994(<genexpr>)
     2651    0.001    0.000    0.003    0.000 {built-in method builtins.max}
      116    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      105    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       92    0.006    0.000    0.055    0.001 {built-in method builtins.print}
       70    0.000    0.000    0.000    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/fromnumeric.py:70(<dictcomp>)
       70    0.000    0.000    0.000    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
       44    0.000    0.000    0.000    0.000 {built-in method numpy.geterrobj}
